text,score
"Niveles de retraso mental: 

— Bajo.
— Medio.
— Alto.
— Elevado.
— Regresar con tu ex.",1
"—Vamos Luke desenfunda tu sable, demuestra tu odio, que perteneces al lado oscuro
—Señor súbase los pantalones o llamo a seguridad.
—JAJAJA.",1
"- ¿Te ofrezco algo?, ¿Agua, café, mi corazón, mi vida entera?
-Agua está bien
-Pero yo creí que...
- ¡AGUA DIJE!",1
No se porqué me hago la cabeza deooos,0
Quisiera saber que hago durante la siesta de la cual me levanto más cansado que cuando me acosté a dormir.,0
"La persona que te dice que no se arrepiente de nada en la vida, o no toma alcohol, o no lleva el celular cuando lo hace.",0
"—Buenas don Pepe, ¿me vende un litro de leche?
—¿Entera?
—No, si quiere tómese un vasito pinche viejo abusivo...",1
Meeee aburro,0
Macri le dijo las gordas que usar calzas está bien.,0
JAVIER CHICALITO HERNANDEZ *7,0
"Conducir a Cerro Navia, compartir información de la carretera en tiempo real con wazers en mi zona. ETA 11:20 PM usando @waze - Conducció...",0
#LosNiñosBonitos le ponen pausa al videojuego para escuchar lo que dicen #LasNiñasBonitas.,0
#20CosasQueHacerAntesDeMorir: Enseñarles la diferencia entre: -Hay de haber -Ahí de lugar -Ay de exclamar - Ai se eu te pego.,1
Leí que la falta de sexo trae consigo una notable mejora en el léxico. Me quedo absorto ante tal afirmación carente de raciocinio.,1
"y ahora un poco mas breve:
Sevillista que VENDA UNA acción, una:
Traidor.",0
Ya apronté él bolso,0
Esas canciones del celular que nunca escuchamos pero no las borramos ''por si acaso'',0
"""Se te ven buenas chichis en tu foto de Whatsapp""

*enviar a todas*",0
Ni Jesús te ama.,0
"Ah no, bien.",0
Te quiero pero #YoTan Twitter y tú tan Facebook.,1
"-El alcohol es un veneno. –Si es un veneno, ¿Por qué lo tomas? -Porque hay cosas dentro de mi que necesito matar. -Charlie Sheen",1
"Cambié mi contraseña de Twitter por ''incorrecta'', si se me olvida, twitter me la recordará: Su contraseña es ''incorrecta''. Soy una genio",1
estoy mas en twitter que en clase (en clase),1
"— Di algo bonito.
— Tú.
— Aún más bonito.
— Nosotros.",0
Un piano me caería excelente en estos momentos.,1
saludos a todos,0
"— ¿Cómo va la dieta? 

— Me la comí.",1
WhatsApp cayó varias veces en 2015 y vos todavía no caes que nadie te soporta.,1
Lo malo de ser latina es que tenemos que vivir sabiendo que probablemente nunca abrazaremos a nuestros idolos,0
"- Hijo ¿compraste una iPad?

- No ¿Por qué? 

- Entonces ¿Por qué traes esa ""Tableta sin Teclas"" Jajajá!

- Ya Mamá, deja a mi novia en paz!",1
"Los hombres solo le vemos las nalgas a otras mujeres solo para decir: ""Ah, están más bonitas las de mi novia"". Y ustedes haciendo un drama.",1
"Soy virgen, lo juro por mis dos hijos!",1
"—Bienvenido a los X-Men, ¿cuál es tu poder? 
—Creo regresaré con mi Ex
—Muy bien, te llamaremos «Bestia».",1
Tomar champaña después de lavarse los dientes. Mas rico,0
"Soy La La Land en el amor.

#Oscars",0
"No se si estoy cruda, peda, viva, arriba, abajo, cintura sola, la media vuelta, despacito, quiero respirar tu cuello deeeees pa ci to.",0
Me acelera el corazón cada vez que siento adrenalina #ConChecoEnInfinitum,0
"Otra vez me estaba sintiendo lindo y pum, nuevamente todo al piso xdxd",0
"–¿Tiene pastillas para la diarrea? –No. –Ok, deme un rollo de papel higiénico :(",1
Vengo de ver Fifty Shades Freed y tengo senimienos encontrados.,0
"Que te pongan una vacuna y gritar: ""La base de datos de virus ha sido actualizada""",1
"Te pienso en 3D. —""D""espierto —""D""ormido —""D""onde sea.",0
"+quiero un 00:00?
- y yo quiero que te vallas ala concha de tu madre.",1
"—Hola linda, ¿Por qué tan sola? —Es que me vine a tirar un pedo.",1
Lo bueno que tras la muerte de Fidel su rostro será inmortalizado en mercancía capitalista tal como sucedió con el Che.,0
Madurar es dejar de creer que el profesor Jirafales sólo entraba a tomar una tacita de café #XD,1
Estaba re emocionada 😂😂😂,0
Necesito bajar 20 kilos o 10 pa ser normal auqnue sea,0
"Mirarle y pensar 'Ese era mi amigo, como pudo cambiar tanto...""",0
"""Despedí a Carmen Aristegui por presión de los Pinos"" Atte: Joaquín Vargas.

#NOOOOOMEEEEEDIIIGAAAASSSSSSS!!!",0
